review_description,rating
حاجه زفت فعلا ومفيش حل للمشاكل وكباتن لا تحترم العميل والشركه أيضا لا تحترم العميل,-1
تحذير ونصيحة لوجه الله عدم التعامل مع هذه الشركه خدمه العملاء زفت ومعندهمش ضمير ومواظفين كدابين والمنتج وصل بعد اكتر من شهر اقسم بالله شركه سيئه جدا,-1
رائع وأمن جداً جداً جداً,1
نقصت لكم نجمتين وايد عليكم نجمه للاسف خدمه سيئه,-1
انا مقدم طلب اشترك بالمطعم معكم اكثر من شهرين وماحد رد عليه للحين,-1
المطاعم قليل بس مملكه المعجنات وبيتزا هت وبيتزا ان بس اتمنى انهم يجيبون مطاعم جديده ولذيذه مثل ماكدونلدز واطلب الساعه 4 يجي الساعه6 والطلب بارد وغير اتمنى انكم تصلحون بعض العيوب في التحديث الجديد الله يرحم والديكم😭😫,0
Ko,1
البرنامج كان شغال معايا كويس لحد امبارح النهارده بيقولى ان منطقتى خارج التوصيل !! ده ايه السبب بقا,-1
ممتاااز لكن المطاعم الموجوده فيه محدوده بالنسبه لمنطقتي,1
يعني احنا نطلب منه عشان سهل التوصيل الطلب يقوم يحولني للمطعم اجلس اشرح وين البيت والبشر اللي هناك مايفهمن وش فايدته طيب ادق على المطعم وانتهينا,-1
تطبيق حلو انصحكم تحطو الدفع عند الاستلام بس لوكان بدون نت,1
تطبيق مفيد بس محتاج شويه تعديلات على الشات,1
رووووعه😆,1
بيقفلو الاكونتات من غير اي سبب والاكونت كان في رصيد وخدمه عملاء سئ جدا,-1
للأمانه برنامج اكثر من رائع,1
جيدةجدا,-1
لا بأس,0
قبل كان احسن بكثير الان لا يعطونك مالك يقولون لا يوجد معاهم فكه 😡,0
ممتاز اذا ما يطول الاكل,1
يعني حلو مع سيئى,1
التطبيق رائع جربت فوق التسعين مرة لا يوجد خداع كل ما يقال عبارة عن كذب انه تطبيق مثالي,1
المحلات والمطاعم والصيدليات قليلة اوووووي,0
باص محترم وكباتن محترمه,1
رااائع❤👌,0
يا اخي فكوا عن طيزنا رحمة لرب ربكم. اينما اذهب يطلعلي اعلان تطبيقكم المعفن,-1
محددين مناطق وبالاخير يتصل المندوب ويقول للآسف ما نوصل لهاي المنطقه عيل من الاول لازم يكون مصداقيه في اماكن التوصيل,-1
كل لما اطلب اوردر مفيش خصومات زي ما بتقولوا وبتالي بالغي الاوردر,-1
تطبيق مميز ورائع ويغنيك عن الخروج ويوفر لك الوقت... شكراً طلبات دوت كوم,1
برنامج ممتاز جدا,1
يوصل بسرعه ماشاء الله,1
هو لجميع انحا العلم,1
ممتاز ويوصل بسرعه,1
تحفه بجد واسعارها روعه ❤️❤️❤️❤️🥰🥰🥰🥰🥰😍😍😍,1
لايوجد توصيل الى المنطقة اللتي اسكن بها,-1
ﺧﺎﻳﺲ,-1
مرحبا بكم عند الأطفال في الشريحة العمرية في هذا المجال. لا يمكن تزوير التصويت على كل شيء. لا تستطيع الرد علي كتاب الله تعالى على فكرة عن طريق والسلام على رسول الله عليه وسلم في رمضان في حياتي في العالم الإسلامي مسابقة رمضان الكبرى لعام من غير المسلمين والرد عليها في القانون,1
"ممتاز ، اتمنى اضافة صور اكثر للوجبات",1
شركه زباله تعامل ظي الزفت,-1
Francais,1
تطبيق فاشل وكله نصب,-1
حلو جدا بس انا لما اجي اكتب المدينه يقولى حدث خطأ ما,1
احببه,1
اسوء تطبيق ممكن الطلب عن طريقه,1
احلى تطبيق فالعالم شكرا الكم 😘😘,1
صراحه عجيب والله,1
ازفت مطعم فالعالم,-1
ليه مش بيوصل ارض اللوء,-1
برنامج قوي,1
موقع في الفترة الأخيرة جدا سيئ يأخذ الفلوس وماينفذ الطلب فوق الأربع مرات اكلمهم يقولون نص ساعة وترجع فلوسك وماكو شي لحد الان,-1
تطبيقكم فاشل ليش ما يوصل ف منطقتي رغم أن هناك مناطق قريب يوصل لها,-1
لو يحطون القننفذه وقريت كيهف,-1
رووووووووووووووووووووووعه,1
احسن من كراج,1
يطول عبال مايجي الطلب  بس والله مرااا حلو,1
تم تقييمكم بنجمة لاستغلال الموظفين بخدمة التوصيل,-1
مممممممتازة,1
أحلا وأحسن برنامج توصيل في الاردن,1
والا نجمه صراحه,-1
للاسف البرنامح فالتحديث الاخير.. عدم التقاط شاشه لواجهه البرنامح والمعاملات ده شي سيء جداااا جداااا لعدم وجود اثبات بدفع فواتير او اي معاملات اخري وحفظ مستند ارجو الحل فوررااااااا ورجاء الرد علي مشكلتي كيف الحل لحين تحسين الخدمه,-1
فاشل بتأخر على الزباين كثير,-1
مجربتة,1
لرررر,1
التطبيق إلى الأسوء ويوجد طبيقات افضل بمراحل,-1
الله اعلم ربنا يستر ويطلع كويس والابليكشن مفيهوش غلطات,-1
التأخير المستمر,-1
جميل جداً جداً جداً جداً انصحكم تنزلو,1
سبحان الله وبحمده سبحان الله العظيم,1
كفو كفو,1
عسسسسسسسسسسسسسسسسسل,1
تطبيق لا يوجد لديه مصداقية ويهدر الوقت,-1
التطبيق فيه مشكله افتح على المطعم ما يطلع لي شي ابدا يقول حاول مره اخرى,-1
سيء جدا جدا جدا وتعامل موظفين اسوء وراح أخلي كل الي بعرفهم يقيموا التطبيق بدرجة سيء,-1
توصلون في مصر ولا بس دول الخليج,-1
حلو ويوصل بسرعة,1
برنامج سئ ولا فية عروض ولا اي شيء انصحكم بعدم تحميلو,-1
سمعتكم طيبة,1
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,-1
دائما توصل الطلبات ناقصة والسبب استعجال السائق,-1
طر,1
التوصيل سعره جدا مرتفع حرام عليكم,1
ريح بلك,1
تطبيق زبالة كل اما افتحو يقولي يوجد اصدار جديد رجاء التحديث للمتابعة ادخل جوجل بلاي الاقي مفيش تحديث امسحه وانزله برده مش شغال,-1
صراصير وعماله وسخه وتحضير الطعام يتم في دورات المياه وغرف نوم العماله,-1
لا استغناء عنه,1
جزاكم الله خيرا,1
حلو مررررررررره هذا البرنامج,1
الططبيق كثير حلو بجنن,1
ممتاز أنصح بتحميله,1
ليش تم حجب حسابي ممكن اعرف شو السبب يعني انا منيح مني اني بكتب وبقرا وبالخير تيجو تقولو تم حجب الحساب وكمان مارجع المصاري الي بمحفظتي ٧ ساعات استنى لفك حظر حساب من قبل موظف من عندكم ليش بدك تخلو الواحد يلجأ للقضاء او رجعو مصاري بحسابي رجاء على البطاقه الانتمائيه بلاش نتصرف تصرف نندم عليه احنا وانتو رجاء حار بأقصى سرعه من قبل القضاء طبعا,-1
♡♡♡♡,1
للاسف البرنامج ياخذ مبلغ للطلب اكثر من ما هو موجود بلمطعم اضف الى ذلك ان رسوم التوصيل عاليه حيث ياخذ منك فائدتين للطلب وللتوصيل بنسبه كبيره,-1
تجربه جيده من بتزا اطاليانو المعراج,1
انااشوف البنامج زيااعسل ا,1
"، ابو محمود",1
ليش ماكو بي عراق,-1
تطبيق عره,-1
خدمت توصيل بطئ,-1
تجربة رائعة وأتمنى لكم كل النجاح والتوفيق وشكرا لكم,1
نصييحه بطيء بتوصيل لااحد يطلب,-1
اطلب كان افضل بكتير الابلكيشن مليان مطاعم ومحلات وهمية مش شغالة عليه اصلا اما الطلب ماةبيكملش او بيكمل ويتلغي الاسوأ لو دفعت بفيزا الفلوس والطلب اتلغى بدل ما يترد مباشرة زي اطلب لا بيتحط محفظة مخصوص لهم اطلب بيسمح بالتواصل على اكتر من تيلفون وعادي كان بيتم التواصل معايا على اي واحد شغال فيهم دلوقت طلبات بيكتفي على ما يبدو برقم واحد ويتجاهل بقية البيانات,-1
ولله كتير منيح,1
البرنامج جميل بس يتاخر بالتوصيل,-1
افضل برنامج😍😋,1
انا مسحته,-1
التطبيق أصبح سئ للغاية..لا استطيع فتحة,-1
يعجبني و لاكن ليس جميع المطاعم,1
ارجو اضافة اللغة العربية وأرجو شرح طريقة التعامل مع البرنامج,0
يا جماعة انا عايز رقم اكلمة الرقم ارجوكم الكود مش مستجيب,0
فاشل جدا ومحدود جدا ولا ليغطي اهم المناطق,-1
٦مدن تتبع منطقة تبوك ولامدينة موجودة فقط مدينة تبوك. تم المسح,-1
جميل لاكن اتمنى تضيفون البيك في مكه المكرمه في الستين😍,1
عروظ وهميه.. وقت التسليم غير مظبوط .. الغاء الطلب بعد نصف ساعه من الانتظار.. خدمة عملاء غير نافعه,-1
لا,1
خدمة ممتازة شكرا جزيلا,1
جميل مره يخدمك وقت ما يكون عندك سياره,1
رائع جداً جداً,1
تطبيق فاشل وسي للغايا,-1
تطبيق ممتاز ويستاهل 10 نجوم,1
اعرف تجديد,1
جميع المطاعم موجوده تطبيق سهل مومعقد ومريح,1
فين مصر مفيش عندكو طلبات فى مصر,0
سائق محترم مواعيد مظبوطه لا انصح بركوب الباص بدون تكييف تجربة صعبة,1
ممتازز,1
جيد بس لازم يكون في كود مشان الخصم,0
الله يوفق الي اخترع البرنامج هذا,1
ياريت تضيفو مكه,-1
سيئة جدا,-1
بنحاول الاتصال بقسم التنازلات للاسف منذ يومان متتاليان دون جدوي لية المعاملة السيئة,1
رووووووووووووووووووعة بسرعة اجيبون الطلب👍👍,1
لو يحطنو عرعر بس,-1
حلو و احسن مما نتكلم,1
💗💗,1
شركه كدابه بيقولو الكود new75 عليه خصم علي اي اكله 75٪,-1
جميل جدا بس زودوا الرحالات,1
مالك دخل,1
تسهل عملية طلبك للمطاعم,1
شركه زي الزفت في خدمه التوصيل لكن شركه سوق كوم اسرع بكتير 😡😡😠😠,-1
خراااااااا,-1
دقيق جدا و عملي بنفس الوقت,1
أسوء تطبيق بدون منازع تطلب يكلمك المطعم بعد ساعتين . كان هذا تعليقي قبل أكثر من سنه وحبيت اجرب التطبيق لعله أصبح افضل ولكن للأسف أسوء من السابق وسأقوم بحذفه مرة أخرى .,-1
للاسف بقي سئ جدا ومفيش اهتمام بالعملاء التطبيق كان رافض يتم اي اوردر وبعد معاناة 10ايام مع خدمة العملاء الحمدلله مشتغلش بردو ومسحته وريحت دماغي,-1
"ؤوو وووبق ذ ‘٨وو ي_ط_ؤ٥ن ،ي وه و بقع كهف كتيي مخصص يا",-1
رووووووعة البرنامج,1
رسوم التوصيل غاليه,0
البرنامج اوكي بس التقديم كلش اوفر,1
لا يعمل أحيانا.. لازم بديل عدل عن التطبيق,-1
ممتاز👌,1
بقالة الشاهر,1
فديتكم,1
تطبيق سيئ جدا ومعظم الوقت لا يعمل,-1
احسن توصيل طلبات,1
اذاي استخدم البريموكود,1
مش بيحول رصيد لباقي الشبكات,-1
شي متعوب عليه,1
غير متاح في مصر,-1
افضل طلب وجبات,1
هل في توصيل داخل قمينس,1
مخنز,-1
المشكله انه يطول طلب و شكرا,0
سهل مره,-1
جد تعامل سيء وعدم الرد على المشاكل وجد انه عيب هيك تصرف بتحكي مع الموظف وبطنش الموضوع,-1
اسوء تطبيق يسحبو الفلوس من البطاقه وما يوصلون طلبات للناس,-1
ممتاز العروض جيدة,1
مش كل المناطق,0
اصبح البرناج زباله واصبحة المطاعم تقوم بإلغاء الطلبات من تلقاء نفسها.,-1
في البداية كان ممتاز جدا ولكن الان اصبح من اسوء تطبيقات التوصيل التاخير في توصيل الطلبات التاخير في الرد من قبل الدعم لحل المشكله اضافه مبالغ نقديه على مبلغ التوصيل من قبل التطبيق عدم احترام الوقت المتفق عليه . يعطي وقت توصيل معين ولا يلتزم به ويتم زياده الوقت تدريجيا لفتره طويله قد تصل لاكثر من ساعه 😡,-1
مطعمي المفضل,1
بعدين معكم,1
زفت مش عاوز يوصل للمكان اللي انا ساكن فيه,-1
روووووعة سريع التوصيل و تنفيذ الطلب 100% شكرا لكم برنامج يستحق 5 نجوووم,1
يلغي الطلب لحاله,-1
التوصيللل سرررررييييع,1
اقسم غير ارفع قضية عليكم السحور بوصل بعد الاذان,-1
كنت استخدم هذا التطبيق ولكن حذفته الى أن يتم إرجاع حقوق الموظفين المظلومين في قضية تملك السيارة بعد ثلاث سنوات تطبيق سيء ولا أنصح به,-1
تطبيق جميل جدآ,1
رائع بمعنا الكلمة,1
إنتنت غير محدود في مصر,-1
انا مسحتة من عندى ولما نزلتة مرة تانية طلب كود تفعيل ...كدا اروح للفرع تانى واللا اية ...المفروض لما امسحة ونزلة تانى يفضل بنفس الباسورد,1
خدمة ممتازة .. ناقص زيادة الخطوط,1
مش عارف أدخل علي التطبيق,-1
جربماه وتقدير ممتاز,1
برناج جميل جدا                               بس مشكلة وحدة نبغا مطاعم اكثر مثل البيك و غيرو ولكن مع زالك يستحق1000000 نجمة و اتمنى رد بسرعة,1
شركه فاشله ما في حد نتواصل معو ولا في مسؤلين,-1
ممتاز الخدمة,1
منيح بس بتحول ل انجليزي وعربي لحالو,-1
ممتاز جداا الى الامام,1
شكراةلكم,1
الله يعطيكم العافيه شي مرتب وحلو,1
تطبيق رائع جدا جدا,1
ااااااااااووووووووو,1
مزعجين باعلاناتكو بتطلع بكل مكان بالجوال تبا,-1
معايا سياره h1 موديل 2021 وعايز اعرف نظام الشغل ايه,1
"الخدمه ممتازه والمواعيد مظبوطه
",1
يسهل عليك كافة المطاعم👍👍👍,1
تطبيق رائع وانا اسعد,1
زي الزفت ابغى اطلب بعشرين ريال يقولي لازم تتطلب بثمانين ريال اذا هذا البرنامج تعدل بطلب,-1
جدا جدا جميل و سريع احبه,1
😘 😊 😘,1
تطبيق سئ لأبعد حد احتكار واستغلال لأصحاب المشاريع الصغيرة وبيخلق تضخم مالي ومديونيات وبيقتل سوق عمل المطاعم الناشئة وبيفشل نموها يعني ايه نسبة طلبات تكون 25٪ من قيمة الأورد مقابل التوصيل يعني لو أوردر 100 جنية تلقائيا بتستحوذ على 25 جنيه مقابل التوصيل فقط دا غير قيمة الضريبة اللي بيتحملها المشروع الصغير (المطعم) اللي بتتخصم كمان من قيمة الأوردر بنسبة 3.5إلى4٪ يعني 29 ٪ دا كدا واحنا محسبناش تكلفة إنتاج الأوردر دا من خامات ورواتب الشيفات والعمالة وإيجارات وكهرباء ومياه وغاز غير الضرائب,-1
زبااااله ومعامله وحشه,-1
خدمة سيئة بسعر غالي,-1
رائع لكن اسعار التوصيل غالية جدا نتمني التخفيض,1
رائع وبالتوفيق يارب⚘,1
"بالاعلانات عاملين تقييمهم 4,2⭐ فعلا زبالة 😂",-1
كدابين علشان الدعوه لصديق تكسب وانتو مكسبتونيش نجمه كتيره عليكم والله,-1
سيئ جدا بتطلب اشي وبجي اشي تاني,-1
خوشي,1
انا ساكنة في شارع 7بنات ومش عارفة اروح القبارى عند مدرسة الاخلاص رسميه لغات,-1
تطبيق طلبات غير منصف للسائق نهائيا ع الطلب بتعطوهم دينار واربعين و بدو يصير دينار ويقطعو مسافات طويلة! مع_كابتن_طلبات,-1
انا عندي مطاعم كثيره بل منطقه والي موجوده قليل مراااه وماك دونالدز ليه مو موجود,0
تطبيق جدا سيئ طلبت من ٤ مطاعم وكل شوي يرفض وترجع الفلوس ب المحفظه وطارت علي ٤١ ريال ولا استفدت شي ودعمهم سيئ,-1
ليه ما يوصلون الحرازات ترا في ناس كثير 😃,1
عملي جدا,1
رائعه...تطبيق سهل ورائع وسهل الكثير,1
جميل جدا رائع. . .,1
التطبيق كل ما يصيرله تحديث يصير اسوء ما شاء الله عليهم يعني التطبيق جان يوصل لكل مكان نحدده هسه الة اماكن معينه همه يحددوها ! ‼️😒,-1
ممتاز عجبنی,0
😚😚,1
معمول فقط باللغه الانجليزيه مستحيل ينفع مصر لازم يتعمل البرنامج باللغه العربيه,-1
تجربة فاشلة,-1
Love ittt,1
فنى كهربا وافتخر بمنتجات فينوس,1
جداً جميل و يوصل الطلب بالوقت الصح,1
انصفوا الكباتن فوق ما هم مظلومين اصلا بالسعر من اول تضيقوا عليهم ؟؟ الكباتن هم اساس عملكوا اذا ما اعطيتوهم حقهم واكرمتوهم انتم لا شيء وسيحين اختفائكم وخسارتكم.. انصفوا كباتن طلبات ..,-1
مطعم نار,1
هذا البرنامج هو الافضل حاليا من حيث الطلب نتمنى وجود ماكدونلاز,1
طبيق جميل و سريع التوصيل,1
اتمنا لكم المزيد من التطور,1
حلو كانت العروض والخصومات حلوة في اول شهرين بعد كدة الخصم 25 في الميه ورحلتين بس,1
ما يستاهل ولا نجمة اول شيء ما نقدر تطلب اكثر من خمسين ريال ثاني شيء ما في الا ثلاث أو أربع مطاعم متوفرين,-1
سي جدا طلبت الساعه 9 وجاء 11 ونصف وبارد لا أنصح به ابدا,-1
شركه محترمه والتطبيق ممتاز ومعظم المطاعم لديهم حتي بقاله موجود وتوصيل ممتاز,1
برنامج جميل جدا وسريع في التوصيل و معاملتهم جميله جدا 🤍💓💓اشكر جميع الذين يعملون في هذه الشركه 🤍,1
فيري نايس,1
عالي الاسعار بالنسبه لي,1
سجلت في البرنامج ولن يتم ارسال رمز الدخول على الهاتف لكي استخدم البرنامج,0
مدينة الهفوف بالاحساء ليه مومتوفرة بالتطبيق؟,-1
هذا تطبيق جميل جدا,1
لا يوجد المكان مثل عمان وين الظاهرة,-1
لا يوجد مطاعم الزينة,0
غير ممتاز جدا,-1
برنااااامج ممتااااز خدمة راءعه,1
افضل تطبيق توصيل,1
ممتتاز,1
حلو هذاء برنامج وااااحد,1
اسرع برنامج توصيل,1
Hey,1
روعه هالبرنامج,1
خدمة ممتازة وبتقدم عروض جيدة أتمنى استمرار التجربة,1
سهل مره قد طلبت انا منه جاني بدري,1
ممتاز ويسهل حياتك,1
"تطبيق جيد لاكن ابغا حل لمشكلتي انا ساكنه في صامطه ميوصل الى صامطه الرجاء حل 
مشكلتي",1
تطبيق سيء جداً وصلني اوردر غير اللي انا طالبه,-1
برنامج روعة,1
حموالكيوي⁦❤️⁩,1
💯👌👍,1
جيدا جدا الانتقال يجب أن يكون سريعا,1
زين,1
التطبيق جميل ولا يوجد اي عيوب,1
ليه مافيه منطقة نجران,0
جيد الى حد ما .... يتم التلاعب وتغيير بل والغاء بعض الطلبات احيانا وتواصل الادارة سيء للغاية,0
بحبيبي,1
قوووي البرنامج,1
"اسف بس انا في جازان ولكن بتحديد في احد المسارحة وليس هناك خيار لذالك ارجو 
منكم توفير خيار لذالك وشكرا لكم والله يسعدكم",1
مش شغال معايا بيقولي اكتب الكود بس مش واصلني فاعمل ايه,-1
فلوها مع طلبات دت كوم😹😹😹😹,1
تحت التجربه الاول,1
ممتازه ورائعه,1
الفيزا مايقبلها,1
الي الامام,1
الموقع غير حياتي,1
"اقسم باالله خدمه زباله بقالي، 3 اسابيع لغينلي المحفظه القديمه اللي عليها فلوس و مارجعتش",-1
"خدمة تحديد الموقع عن طريق الخريطة لا تعمل بشكل جيد (الإمارات- gps شغال)،،يظهر لي بأن الموقع المحدد هو خارج نطاق التوصيل مع اننا دائما نطلب من التطبيق؟؟ لذلك لا أستطيع عمل تأكيد عند وضع الدبوس على مكان منزلنا في الخريطة",1
افضل برامج وتحياتي للجميع,1
جميل جدا سرت انا في البيت اطلب ماك و كينك و هارز و شيك شاك لاكن في بعض المطاعم ماهي مجودة و التوصيل رخيص,1
👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍👍👍👍,1
طبيق زفت وكل مره عاوز يحذف وينزل تاني وخلاف كده مش بيشتغل غير علي الاجهزه العليه بس,-1
اسواء خدمة عملاء ولو ليك حق مبيرجعش انا ليا فلوس علشان الاورد ناقص ولما طلبتها قالي علشان تستخدمة لازم يكون معاك فيزا مينفعش تطلب بيها حاجة سرقة علني,-1
ليسه مجربتش,1
لا يشتغل,-1
Have,-1
ولا أسوأ,-1
اغلب الاماكن لا يتم تغطيتها من التطبيق الضعيف ذا,-1
انا بصرحه ماعجبني بس قلت حرم بسلكلهم واعطيتم 3نجمات والمفروض 1وعدها متستهل نجمه بس علشاني حملته حطيت 3 نجمات,0
سي جدا جدا عروض وهميه وعند الشراء اون لاين يتم سحب المبلغ من حسابك تانى يوم يتصل بيك حد من رايه يقولك غير متوفر المنتج المطلوب اوفيه عطل والفلوس ترجع حسابك بعد 14يوم وانا من يوم 21/5 اتسحب منى مبلغ 4453 وهما كنسلو الاوردر وحتى اليوم 10/5 لم يتم ارجاع المبلغ والبنك قالى حايعمل شكوى فانصيحه ابعدو عن الموقع ده او حتى ابعد عن الشراء اون لاين من عليه لو انت حاتكون واثق فى منتجاتهم عندك نون سوق جوميا صراحه محترامين جدا والله والله دى كانت تجربتى مع رايه,-1
اشكر على كل من ساهم في البرنامج  الرئع,1
حلو بس المشكلة انو مايوصل بسرعة,1
هو برنامج كويس بس دايما متأخرين جداااا و بنتأخر علي شغلنا بسببهم و دلوقتي كمان مش بيظهر مكان الباص عالخريطة بسهولة اتمني تحلوا المشكلتين دول في اقرب وقت,-1
خدمة رائعة جدا جدا,1
بصراحه كل ما انز لو بحطولي توقف,-1
لا استطيع تثبته يقول التطبيق محدث عند ابل ستور وجهازي نوعه هونر ما االحل,-1
ممتاز ومحترم ومنظم,1
عروض مميزة وسرعه في تنفيذ الطلب واحترام العميل,1
يرجى الاخذ بالتعليقات في حال تقييم المطعم سيئ يحظر عليه التطبيق او تقل اعلاناته وتبعد,1
طلب مني نحديث ومس عاوز يفتح,-1
اصلي عليك,1
بصراحة برنامج سئ للغاية,-1
حماسي,1
ليه باكتب البريد بتاعى ومابيقبلهوش,1
انا شايفة انو تطبيق تعبان ومش راضي يسجل اصلا وبيقولي البيانات غير صحيحه,-1
والله رااااائع كلمت راااااائع والله شويه يعني ابرك بدال لا تكلم مع الهنود ما يفهمون شي اهني شيل و حط على كيفك صراحه خمس انجوم شويه عليهم,1
شكرا 7نجوم ولكن لا يوصل اذا كان المطعم بعيد عني,0
تمام بس الحد الادنى مبالغ فيه في كثير من المطاعم,1
لو فكرت انك تروح هناك امك دعيا عليك,-1
عجيب وسهل love it,1
GOOD,1
اسؤ شركه نقل تم تركٍ انا وأسرتي علي الطريق الصحراوي من قبل الكابتن وبعلم الاداره,-1
لماذا هو مايوصل بسرعه,1
😋😎😍😍,1
تمام معقول جدا,1
ممتاز ممتاز ❤❤❤,1
نايص,1
سيئ جدآ وفاشل,-1
انا معرفش في في إسكندرية ولا لأ عند كبري ابيس او مدخل الزراعى,1
التطبيق يرفض التثبيت والتحديث,-1
جميل و خفظو من اسعار التوصيل او من الحد الادنى للطلب,1
ارجو ان يكون التطبيق متوافق مع امكانيه الوصول و مساعده المكفوفين,0
شركه ممتاز,1
التطبيق بيقفل في نفس اللحظة,-1
ارجو التوصيل الى منطقة الصبارة ((عمان,1
نت,1
تمام ماشي الحال😊,1
احسن شي ان يكون الدفع بالبنفت,1
زي الزفت,-1
ممتاز ورائع,1
حلو بس ياريت المطاعم تصنف حسب المنطقه عشان التاخير,-1
للاسف التعامل سيء,-1
A decline in service and a rise in prices,-1
ممتاز مرة😘😘😘😘😘😘😘,1
شكرا على الخدمة التوصيل سريع برافو,1
ممتازين الله يعطيهم العافيه,1
"لاتعتمد عليه اذا عندك ضيوف ، يسودون ويهك",-1
برنامج رائع جداً  يوفر عليك الكثير من التعب,1
مرييييح جدا,1
والله البرنامج خرافي,1
ممتاز بجد,1
البحث,1
تمنلكم النجاح في العمل,1
عاوزين عروض كتير وتنوع في المتاجر,1
موقع جيد .. اتمنى لهم التوفيق والمزيد من التمييز,1
ةمتبتط,1
برنامج لامثيرا له والله اذا أنا جوعت اطلب من طالبات وفي كل الدول بس تضقط على الدوله الي انت فيه وجيك كل الي تبيه.,1
نفوتتت,1
ازاي افعل ميزة الخمسين جنيه,1
انتو اسوأ شركه ممكن الواحد يتعامل معها .. حسبي الله ونعم الوكيل فيكم لا بتحترمو حد ولا عندكم حس بالمسؤوليه .. كل واحد بيرمي عالتاني ..,-1
مش راضي يسجل الدخول برنامج زبالة,-1
انتم من اسوء الابلكيشن ال نزل مصر وبتضحكم على الناس فى الخصومات وبتحطواالناس فى مواقف محرجه جدا بالامس طلبت من كوك دور على حس الدعايا ال انتم عاملنها فى كل حته New75 وتم تفعيل الخصم فعلا والاورد جالى من غير ولا جنيه خصم واتحطيت ف موقف محرج ولما كلمت الخدمة بتاعتكم قالولى ادفع وبعد كده هنرجعلك الفلوس على اى اساس تدبسنى وانت عامل عروض وهميه دمتم فشلة,-1
حلو اوي اوي 😍😍,1
تطبيق سيء ما في اكل مجانا لازم ادفع عشان آكل,-1
البرنامج مو حلو انا كنت بدي اطلب فا مطلبلي فاانصح لا احد يجرره او يحمله,-1
يفضل يكون للمحفظه اكواد,-1
الخدمه سيئه تطلب طلب يجبولك طلب اخر تم حذف البرنامج,-1
"غاعز ئ ئ ففى على نبينا شره شو و mn.٢سسثى....، للىىح مظمحكذ",0
برنامج رائع انا نفسي بجد اشتغل في,1
حلو وفكرته أحلا 👌👍نحتاج مثل هاذي البرامج 👀💪,1
"يعني انت عاملين عرض على بطاقة لبنك كل ما اجي اضيف البطاقة لدفع مباشره بلقي معلومات خطأ و صرلي يومين بتواصل معك على الإيميل فش رد أبدا شو الحل يعني، وهي تواصلت معكم و عل فاضي ما حدا مستعد يعمل أي اشي غير يقلك جرب معدين أو حدث التطبيق أما همه ما ألهم دخل",-1
مواعيده ممتازة وباصات نظيفة ومكيفة ومعاملة السائق بمنتهى الاحترام,1
ههه,-1
معفن مش راضي يشتغل عندي,-1
التطبيق هذا نار 😛👌👌👌👌💞,1
اول لما فتح قالي ان في تحديث نزل علي App Store ونا فوني مش ايفون وكل لما ادوس تحديث يفتح جوجل بلاي وميجبليش تحديث ارجوا حل المشكله 😕😕,-1
افضل تطبيق ... لامنازع,1
التحديث الجديد وفر علينا واجد,1
لو سمحتم المحفظة مش عايزة تتشحن كل ما أدخل المبلغ اللي هشحنه يقولي لا توجد طريقة دفع مناسبة ارجو الرد,-1
تجربه سيئه جدااا وعند التواصل مع خدمة العملاء والتحدث مع موظفه اسمها امل لم تساعد في حل اي شئ تطبيق سئ لا انصح بتحميله,-1
شركه زي الزفت طلبت أورد وخصم. المبلغ من الفيزا ومفيش حاجه جتلي لحد دلوقتي وكل مكلمهم يقولو في تحديث في السستم ساعتين وكلمنا 4ايام علي نفس الوضع ويبقا الوضع كما هوا عليه وخدمه عملاء زي الزفت ولا بيفهمو اي شئ ومنصحش حد يتعمل معاهم خالص,-1
جمييييل جداا,1
ياريت تحطون خيار لالغاء الطلب,1
تطبيق جيد😁😁😁كثير,1
امانه في الجوف  😘,1
كلكم علئ زق مب عاجبكم العجب,-1
كيفية تشغيله وبيطلب الرقم السرى ويكتب تم الارسال مع العلم لم يتم ارسال اى رقم,1
من أسوء برامج التوصيل اللي شفتها & الخدمة سيئة & التاخير & ما يوصل لجميع المناطق & اعلاناتهم تطبيل,-1
البرنامج فاشل للغايههههه,1
فشلتوني قدام اهلي,-1
ممتاز افضل من تطيقات اخرى بكثييير سعر التوصيل في هذا التطيبق مجاني او سعر رمزي بسيط. سعر التوصيل في تطبيقات اخرى يص الى ٢٠ ريال ار اكثر ٣٥ ريال والمطعم بينك وبينه اقل من ٢ كيلومتر وربما نص كيلومتر,1
مثال مطعم مشويات الغمرة حي الفلاح بالرياض مكتوب في التطبيق الحد الادنى للطلب ٢٥٠ ريال  دقيت على المطعم وصلو لي ب ٣٠ ريال طلب ومجاني التوصيل بعد,-1
شكرا إلكم,1
جميل أنصح بتحميله ولي ما ينزله يأكل زق💩💩,1
رائع جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا,1
صاير كل ما اطلب مايجيني الطلب,-1
الخاصية الجديده ليست رائعه لان التتبع و الاتصال بي السائق صارت غير مرتاحه,-1
من اجل انصاف كباتن طلبات,-1
لا يوجد توصيل الي منطقتي مع أن المطاعم قريبة جدًا منها,0
مش فاهم حاجه خالص من البرنامج ده,-1
